AAABAABAACAA,AAABAABAACAAA,S.E.E.ES..
AAAACAAACBAACAB,AAAACAAACBAACABB,..E...S...
AAABBBBABAC,AAABBBBABACA,...EE.....
AAAAAABABBABCA,AAAAAABABBABCAA,...EES....
AAAABAABBBAAACB,AAAABAABBBAAACBB,SE.....E.E
AAAACAABACBB,AAAACAABACBBA,..S....E..
AAABBCABCBCAAB,AAABBCABCBCAABA,SEE...E...
AAABBBCABCABBA,AAABBBCABCABBAC,..E..E...S
AAABBBCABAABCAA,AAABBBCABAABCAAB,.E....E...
AAAACAAABCACAB,AAAACAAABCACABC,.S....S..E
AAABBBACBBBAAA,AAABBBACBBBAAAA,E..E.....E
AAABBBACAAAABC,AAABBBACAAAABCB,.E..SS....
AAAAAAAAACBAABA,AAAAAAAAACBAABAB,.E..EE.ES.
AAAACAAAACACCCA,AAAACAAAACACCCAC,..EES.....
AAABAABAABCAABA,AAABAABAABCAABAB,...S......
AAABBAAAAABBBB,AAABBAAAAABBBBA,..EE.E..S.
AAAAAAAABBACB,AAAAAAAABBACBA,.ES.....E.
AAABBAAABACAAAC,AAABBAAABACAAACB,..EE....E.
AAABBCBAAAAACAB,AAABBCBAAAAACABA,..E.EE..E.
AAAABAABBACAA,AAAABAABBACAAA,.E....EESE
AAABBBACBCBABAB,AAABBBACBCBABABA,...S......
AAABBCBABAAABBA,AAABBCBABAAABBAA,........SE
AAAACAACAAABBBA,AAAACAACAAABBBAA,..E....S..
AAABBBCBAACBABB,AAABBBCBAACBABBB,..EEEEES..
AAABBBBAABAABAA,AAABBBBAABAABAAB,.......S.S
AAABBBABAAAAAAB,AAABBBABAAAAAABA,......E...
AAABBBAAAAABBAB,AAABBBAAAAABBABC,..EEEE..E.
AAABBBACCAABB,AAABBBACCAABBA,.EEE..E..S
AAAAAAAAABACCC,AAAAAAAAABACCCC,..EE.S.ES.
AAABBABABCABCBB,AAABBABABCABCBBA,....S..SSE
AAABBBACBCABACA,AAABBBACBCABACAA,...E...E..
AAABAABABACABC,AAABAABABACABCA,.E.S...EE.
AAAACAAACBBACBA,AAAACAAACBBACBAB,.E..SS....
AAAACAAAACCBAA,AAAACAAAACCBAAA,S........E
AAAAAAAAAAABAA,AAAAAAAAAAABAAA,..S.....SS
AAABBBACCABABBB,AAABBBACCABABBBB,.E..S.EEEE
AAABAACAABABCCB,AAABAACAABABCCBB,.E.......E
AAAABAABCBACA,AAAABAABCBACAB,...E....E.
AAABBBCABBB,AAABBBCABBBA,..........
AAAAAABABAAABCA,AAAAAABABAAABCAA,S...E.....
AAAACAAAACBABB,AAAACAAAACBABBA,E..ESSE...
AAABBCABAAAB,AAABBCABAAABA,..S.....S.
AAABBABAAAAAB,AAABBABAAAAABB,.S.S..ES.E
AAAACAACAAAAAAC,AAAACAACAAAAAACA,ES.EE.....
AAAABAABAAABCCA,AAAABAABAAABCCAB,..E.E.E.ES
AAABBAAABBBABCC,AAABBAAABBBABCCC,.SES..E.S.
AAABBCABAABAAC,AAABBCABAABAACB,E.......E.
AAAABAAAAAAABAC,AAAABAAAAAAABACA,S....S.EE.
AAABAACAAAABAAB,AAABAACAAAABAABA,...ES.S.E.
AAABBAAABABAAB,AAABBAAABABAABC,.E..E.SE.E
AAAAAAAABBABC,AAAAAAAABBABCA,....E.E.E.
AAABAABBBABCAAB,AAABAABBBABCAABA,...ESE..EE
AAABAACABAAABB,AAABAACABAAABBC,..EE.E..E.
AAAAAAAAAAAAB,AAAAAAAAAAAABA,.S.E.E.E..
AAAABAABCABCCAA,AAAABAABCABCCAAB,..ES......
AAABAAAAAAACACB,AAABAAAAAAACACBB,.E...EE.E.
AAABAABAACABAB,AAABAABAACABABA,.S....S.E.
AAAAAAAABBCAAAB,AAAAAAAABBCAAABC,.E..S.....
AAAACAACBABCAAB,AAAACAACBABCAABA,......E..E
AAABBBABAABBA,AAABBBABAABBAC,........EE
AAABBAAAAACAAAC,AAABBAAAAACAAACB,...SE.S...
AAABBBAAABBCCCA,AAABBBAAABBCCCAB,...EES....
AAAACAABACAAA,AAAACAABACAAAA,....S...ES
AAABBBABABBCAAC,AAABBBABABBCAACC,EE..E....E
AAABBBACBABBBBB,AAABBBACBABBBBBB,......S...
AAABBBACBCBACBB,AAABBBACBCBACBBB,..E....S..
AAABBCAAAAAAB,AAABBCAAAAAABA,..S..E...S
AAABBBACAABAA,AAABBBACAABAAC,.SS.S..ES.
AAABBBABABABAAB,AAABBBABABABAABB,.ES.....ES
AAAAAAAAACCCB,AAAAAAAAACCCBA,.....SE.E.
AAABBABABCBAAAA,AAABBABABCBAAAAC,S...E.E...
AAABBCABCBAAABC,AAABBCABCBAAABCA,EE....SEE.
AAABAACBAAAABA,AAABAACBAAAABAA,...E...E..
AAABBAAAAABAAAB,AAABBAAAAABAAABA,S.....S...
AAABAACBAACACB,AAABAACBAACACBA,.EE..S..EE
AAABBCBABAACAAA,AAABBCBABAACAAAB,.E...E.E..
AAAACAAABACA,AAAACAAABACAB,.....ESS..
AAABBABABAABA,AAABBABABAABAA,EEE...S...
AAAABAABBACAABA,AAAABAABBACAABAB,...E.E.E..
AAAABAABBACAAAA,AAAABAABBACAAAAB,.E.E.SS...
AAAACAAAABAAAC,AAAACAAAABAAACB,.......E.S
AAAAAABACAAABA,AAAAAABACAAABAB,E.....S.SE
AAABBCBABAAC,AAABBCBABAACA,.S.E..S..E
AAAAAAAABCABBAA,AAAAAAAABCABBAAA,.SEE......
AAABBBACABBACCA,AAABBBACABBACCAC,.EEE..S.S.
AAABBBACABBABBA,AAABBBACABBABBAB,E..S..S..E
AAAABAABCBBBCC,AAAABAABCBBBCCA,S.E.ES....
AAABAABABACAAAB,AAABAABABACAAABB,S.....EE..
AAAACAABABAAABA,AAAACAABABAAABAB,..E...E.E.
AAAACAABAABAAAA,AAAACAABAABAAAAA,E..SEEE...
AAAACAAACABBCB,AAAACAAACABBCBA,.....ES...
AAABBBCAAAAACAC,AAABBBCAAAAACACC,.....E....
AAABBBACBACBAA,AAABBBACBACBAAB,ES.....S..
AAABBCABAAACBA,AAABBCABAAACBAC,..EE..EEE.
AAABAACAAAAABA,AAABAACAAAAABAA,..E...S...
AAABBAAAAABAB,AAABBAAAAABABB,...ES.E...
AAAAAAAAACCAB,AAAAAAAAACCABA,...EE.E...
AAAACABAAABBAB,AAAACABAAABBABB,.S........
AAAACAACBABCBBA,AAAACAACBABCBBAA,E....E....
AAABBBAAABACAC,AAABBBAAABACACC,E..EE...E.
AAAACAAACABBC,AAAACAAACABBCB,.S.S...EES
AAABBBACBBAA,AAABBBACBBAAC,E...S.E..E
AAABBBCABBBAAA,AAABBBCABBBAAAB,.E........
AAABAABBBABABA,AAABAABBBABABAB,ES.S.EE..S
AAABBBCAAAACBBB,AAABBBCAAAACBBBA,.E.S......
AAABBCABAAABABB,AAABBCABAAABABBA,EEEE.ES...
AAAAAAA,AAAAAAAA,...EE..E..
AAAAAAAABCAB,AAAAAAAABCABA,.....ES...
AAABBBACABBAA,AAABBBACABBAAA,.ES..E...S
AAAAAABABBBABAA,AAAAAABABBBABAAC,.E.EE....E
AAABAACBAACABAA,AAABAACBAACABAAC,.E........
AAABAACBBAAAA,AAABAACBBAAAAB,E.........
AAABAABAABCAAAA,AAABAABAABCAAAAA,E....E.SE.
AAAACAAAACBACAC,AAAACAAAACBACACB,.E....S...
AAABAACBBAAABA,AAABAACBBAAABAC,E.E.E.....
AAABBABABCACBBA,AAABBABABCACBBAB,..E.....E.
AAAACAAAAABAA,AAAACAAAAABAAA,..EEE....E
AAABBC,AAABBCB,E......S..
AAABBBCAA,AAABBBCAAA,.SE..ES.S.
AAABAACBAACBCB,AAABAACBAACBCBA,E...S....E
AAABBBACCAAAA,AAABBBACCAAAAB,.E...S.SE.
AAABBABABAACAAB,AAABBABABAACAABC,E......EES
AAABBBAAAAABCBA,AAABBBAAAAABCBAB,SS.S....S.
AAAAAABAABCBA,AAAAAABAABCBAB,.ES..EE...
AAABBBBACBBCAA,AAABBBBACBBCAAB,.S..EESSS.
AAAAAABAABCBAAA,AAAAAABAABCBAAAC,...E....SS
AAABBCAAABABAAB,AAABBCAAABABAABB,.E......E.
AAAABAABCAAABBA,AAAABAABCAAABBAB,....E...S.
AAAAAABABAAAACB,AAAAAABABAAAACBA,E...EE....
AAAACAAABACBAAB,AAAACAAABACBAABA,.....E....
AAABAACBAAAAABA,AAABAACBAAAAABAA,..SESS.E..
AAAACAAAACCBACA,AAAACAAAACCBACAC,E...E.S.E.
AAAAAABABAAAAB,AAAAAABABAAAABA,.S.SE.....
AAAACAACAAAACA,AAAACAACAAAACAA,...E...SEE
AAABBBCA,AAABBBCAB,...E.....S
AAAAAAAAABACABA,AAAAAAAAABACABAB,S....EE.S.
AAAABAABCBCABAC,AAAABAABCBCABACB,S....EE..E
AAABBAAABBBBBCB,AAABBAAABBBBBCBA,S........E
AAABBBBAAABBABC,AAABBBBAAABBABCB,..EESE.E.E
AAAACAAACABC,AAAACAAACABCA,..S.....EE
AAAACAAABCACAB,AAAACAAABCACABA,.ES..E.E..
AAAAAAAAACCBBC,AAAAAAAAACCBBCC,.E.E.E.E.S
AAAABAABCBCBAAB,AAAABAABCBCBAABB,..S.S.....
AAABBAAABACAAAB,AAABBAAABACAAABB,....EEE.E.
AAABBABAABAAAAB,AAABBABAABAAAABA,..S.S.....
AAAAAABAABBABAA,AAAAAABAABBABAAC,E.....EE..
AAAABAABCBCCCBA,AAAABAABCBCCCBAA,..E.EEEES.
AAABBBCAAAABCAC,AAABBBCAAAABCACA,SEE...E..E
AAABBBACBCABCBA,AAABBBACBCABCBAC,EE...ESEE.
AAABBCABCABAABA,AAABBCABCABAABAA,..E.E.EEEE
AAABBBBAAAABC,AAABBBBAAAABCA,.E.S..S...
AAAACAABAABBAAB,AAAACAABAABBAABB,E...S.S.S.
AAAACAABABAAA,AAAACAABABAAAB,E..S....S.
AAABAAAAAAAAACA,AAABAAAAAAAAACAA,EEE..SEEE.
AAAACAAABBAABAC,AAAACAAABBAABACC,S......E.S
AAABAABAACABBAA,AAABAABAACABBAAA,E.....S.ES
AAABBBBABABBBBA,AAABBBBABABBBBAB,.E.E....E.
AAAACAAABCACBBA,AAAACAAABCACBBAA,..E...S.E.
AAABBBAAABABBAB,AAABBBAAABABBABC,.EEE...E..
AAABBBCBABBABA,AAABBBCBABBABAA,S.EE....E.
AAABBABABBBCBB,AAABBABABBBCBBC,E.....E...
AAAAAABAABBABAA,AAAAAABAABBABAAB,....EE...E
AAAABAABCBACCAC,AAAABAABCBACCACB,E.....E.E.
AAABBBABAAA,AAABBBABAAAC,ES..E..S..
AAABBBBAAAACBBB,AAABBBBAAAACBBBC,S.E.S..S..
AAABBCBABAAAB,AAABBCBABAAABA,...E.....E
AAAAAAAABAAACBA,AAAAAAAABAAACBAA,...EE.....
AAAACAAABCACCAB,AAAACAAABCACCABB,S..E..SEE.
AAABAABAAABBAB,AAABAABAAABBABA,.E..SE....
AAABBABABBBCBBA,AAABBABABBBCBBAC,....SE.EE.
AAABAACAABBCBBB,AAABAACAABBCBBBC,E.S.S.....
AAABBBAAABCAA,AAABBBAAABCAAB,.E..E....S
AAAAAABABBABBA,AAAAAABABBABBAA,.E....E...
AAABBBAAABBCA,AAABBBAAABBCAB,.S..E.E...
AAAACAAAAABABA,AAAACAAAAABABAB,S.E.E.....
AAABBBACCAAA,AAABBBACCAAAA,..EES.....
AAAACAAABCAAAB,AAAACAAABCAAABB,..SESE..EE
AAAABAABBACBAA,AAAABAABBACBAAA,E..E...E..
AAABAABABABABBB,AAABAABABABABBBA,.ES..ES...
AAABBBCBABAABBA,AAABBBCBABAABBAA,E...E.....
AAABBBCABAACAA,AAABBBCABAACAAA,......EE..
AAABBCABAABAAA,AAABBCABAABAAAB,........E.
AAABBAAABCCAAB,AAABBAAABCCAABA,SEE.E..SSE
AAABAACBABBAA,AAABAACBABBAAA,..........
AAABAABBBAACCA,AAABAABBBAACCAA,EEE...ESES
AAAACAAACBAABAC,AAAACAAACBAABACA,..E.E...E.
AAAACAABABBAAAB,AAAACAABABBAAABC,..E.EES..E
AAABBABAAAAABB,AAABBABAAAAABBC,E..S....E.
AAABBCBABAAAB,AAABBCBABAAABB,.E...S..E.
AAAABAABCBBBCCC,AAAABAABCBBBCCCB,SSE.E.ESE.
AAABBAAAAAA,AAABBAAAAAAA,SS..S..EE.
AAAABAAAAAABAAB,AAAABAAAAAABAABA,...E..E...
AAAAAABABBAAAAB,AAAAAABABBAAAABB,..E.E..E.S
AAABBCBABAACABC,AAABBCBABAACABCA,SEE.......
AAABBBBAAACBABC,AAABBBBAAACBABCB,...ES.....
AAABBABAABABBCA,AAABBABAABABBCAA,..S.SE..S.
AAABBBCABBAACC,AAABBBCABBAACCA,.E.S...S.E
AAAABAABCBABBAA,AAAABAABCBABBAAC,.S........
AAABBBBAAAA,AAABBBBAAAAC,......ESE.
AAABBABAAABAABA,AAABBABAAABAABAA,E..E.E....
AAABBAAABAAACBB,AAABBAAABAAACBBC,.E.SEES...
AAAABAABCABBBB,AAAABAABCABBBBA,S..E.....E
AAAAAAAAACBBACA,AAAAAAAAACBBACAA,EE.......S
AAAACAAAABBABBC,AAAACAAAABBABBCA,E.......S.
AAAABAABCBCCC,AAAABAABCBCCCA,.....ESEES
AAABBBBABAAAABC,AAABBBBABAAAABCA,E..S.ES..E
AAAAAAAABBAABBA,AAAAAAAABBAABBAC,..S.E..E..
AAABBCABCBAABB,AAABBCABCBAABBB,S...S.SE.E
AAAABAABAAABCB,AAAABAABAAABCBC,S.E.......
AAAACAAAAABAB,AAAACAAAAABABA,.S.....E..
AAABAABAAABBAAB,AAABAABAAABBAABA,ES.....S..
AAAAAAAABBACBAA,AAAAAAAABBACBAAA,EE...E..S.
AAABAACAAAABABC,AAABAACAAAABABCA,.SS......E
AAABBBCBABAAB,AAABBBCBABAABA,.S......E.
AAABBCABCABBBC,AAABBCABCABBBCA,E....SEE..
AAABBAAABAAAAAB,AAABBAAABAAAAABB,.....E...S
AAAACAAAABBABCB,AAAACAAAABBABCBC,.....S.SES
AAABBABABCAAAAB,AAABBABABCAAAABA,........S.
AAABBAAAAABABCB,AAABBAAAAABABCBA,...SS...S.
AAAACAACBACBCB,AAAACAACBACBCBA,EEEE.E....
AAABBBACAAAAACC,AAABBBACAAAAACCC,.E...E.E.E
AAABBBAAABACCAA,AAABBBAAABACCAAA,E.E.EE....
AAABBBCBABAACBB,AAABBBCBABAACBBA,E..E....E.
AAABBBACBABBBB,AAABBBACBABBBBA,.EE...ESS.
AAABAACAABBCAAA,AAABAACAABBCAAAA,.S..E.....
AAAAAABABBBCAA,AAAAAABABBBCAAB,..EES..E..
AAABBBACCABABCB,AAABBBACCABABCBA,......ES..
AAAACAAAACCBA,AAAACAAAACCBAA,..S.E.E.E.
AAABBBACAACAACB,AAABBBACAACAACBB,.....SE.S.
AAABBBCBAABABA,AAABBBCBAABABAB,..E..E....
AAABAABBBAABCA,AAABAABBBAABCAA,E.S.E....E
AAABBBAAAAAAAAC,AAABBBAAAAAAAACB,EESS....S.
AAABBBACBCABC,AAABBBACBCABCA,...E.....E
AAAABAABCBCCCAA,AAAABAABCBCCCAAC,EE.E...ES.
AAABAABBABAAA,AAABAABBABAAAA,...SE..E..
AAABBCABCBC,AAABBCABCBCA,E..SESSS.E
AAABBBBAAAABBA,AAABBBBAAAABBAC,..S..S.E..
AAAACAABABBBAB,AAAACAABABBBABA,E.E....ES.
AAAAAABAABCBC,AAAAAABAABCBCA,..EE..SE..
AAAABAABCABCBB,AAAABAABCABCBBA,E........S
AAABBBBAAAACAB,AAABBBBAAAACABC,..E..S...E
AAAACAAABBAAAAB,AAAACAAABBAAAABA,...EES....
AAABBBBABACABBB,AAABBBBABACABBBA,.ES...E...
AAABBCABAAABAC,AAABBCABAAABACC,ES...S..SE
AAABBCABCAAABAA,AAABBCABCAAABAAB,E.......E.
AAAACAABAAAABA,AAAACAABAAAABAA,.SE....E.E
AAABBBAAAAAAA,AAABBBAAAAAAAA,..E..ES...
AAABBBACABCABCA,AAABBBACABCABCAA,..EEE.SSE.
AAABBCABBABAAB,AAABBCABBABAABA,.E..S....S
AAABBBABAAAAAAA,AAABBBABAAAAAAAA,.E.E.E....
AAABBABAAABAA,AAABBABAAABAAA,.....S....
AAABAACBABBAABA,AAABAACBABBAABAA,..E...E...
AAAAAABAABAAACB,AAAAAABAABAAACBA,.E....E..S
AAAAAAAACAA,AAAAAAAACAAA,.....S.S..
AAAACAAAACCBAA,AAAACAAAACCBAAB,.EE.E..E..
AAABBCABCBCAA,AAABBCABCBCAAB,..ES...S..
AAABBAAAAABAABB,AAABBAAAAABAABBB,..EE...E.E
AAABBBBAABBABA,AAABBBBAABBABAC,..........
AAABBBACCABAABB,AAABBBACCABAABBA,..S.E.E.E.
AAAACAACAAAABBB,AAAACAACAAAABBBC,.ES.....E.
AAABBABAAABA,AAABBABAAABAA,.....S....
AAAACAAAAABAAA,AAAACAAAAABAAAB,E....EE.E.
AAABBAAABACAAAB,AAABBAAABACAAABA,..E.....EE
AAAABAABCBACCAC,AAAABAABCBACCACC,ESES......
AAABAACAABBB,AAABAACAABBBA,.E.SS...E.
AAABAACAAAAABBB,AAABAACAAAAABBBB,EE..EEE.E.
AAAAAAAAACCBBBA,AAAAAAAAACCBBBAC,.ES.E.EE.E
AAAAAAAAAAAB,AAAAAAAAAAABC,..E...ES..
AAAABAABCBABCBC,AAAABAABCBABCBCA,...E......
AAAACAACBACAAA,AAAACAACBACAAAA,E.....S...
AAABAACBAABACAA,AAABAACBAABACAAB,.......E.E
AAAABAABBACABAB,AAAABAABBACABABA,.....S.E.S
AAABAAAAAAAAACB,AAABAAAAAAAAACBC,SSE...S.E.
AAAAAABAABCBB,AAAAAABAABCBBC,.EEEE..E..
AAABBBCABBBC,AAABBBCABBBCB,E...EE.E..
AAABAABBBCBAABA,AAABAABBBCBAABAA,S.S.E.E.E.
AAABBBACBBAAAAB,AAABBBACBBAAAABB,....E.....
AAAAAAAABBBBAB,AAAAAAAABBBBABA,..EE.....S
AAABBBBABABBBA,AAABBBBABABBBAA,.SS..EE..E
AAAAAAAABBBAAAA,AAAAAAAABBBAAAAA,.E.......E
AAABBCBAAAAAACB,AAABBCBAAAAAACBB,......E.S.
AAABAACAABAAA,AAABAACAABAAAA,.......E..
AAABAACAAAA,AAABAACAAAAC,S.........
AAAAAAAAACBAC,AAAAAAAAACBACA,..........
AAABBAAABAAABBC,AAABBAAABAAABBCA,E........E
AAABAACBABB,AAABAACBABBA,..EESE.E..
AAABBAAABBABABA,AAABBAAABBABABAB,ES...SEE..
AAAACAAACBAABAC,AAAACAAACBAABACC,E..E.ESEES
AAABBBBAAAABBAC,AAABBBBAAAABBACA,E..EES..ES
AAAABAABCBCCA,AAAABAABCBCCAA,.E..ES.S..
AAAAAAAABAAAAAA,AAAAAAAABAAAAAAA,EE.....ES.
AAABBBACABBAAA,AAABBBACABBAAAA,ES.E.EE.S.
AAABBABABBCAABC,AAABBABABBCAABCC,....S.SS.S
AAABAACBBABCAAA,AAABAACBBABCAAAA,S.....S.S.
AAABBBAAABBAA,AAABBBAAABBAAB,..SES....E
AAAACAAACAB,AAAACAAACABC,.....S....
AAABAACBABBBCAA,AAABAACBABBBCAAA,......E.S.
AAABBABABCB,AAABBABABCBA,E......E..
AAAAAAAABBCAA,AAAAAAAABBCAAB,..S.E...ES
AAABAAAAACABAA,AAABAAAAACABAAA,.S..S...E.
AAABBABAAABAAA,AAABBABAAABAAAA,..S.......
AAABAACAAAAAA,AAABAACAAAAAAA,..EESE....
AAAABAABAAAA,AAAABAABAAAAA,....S...E.
AAABBAAABBAAAAA,AAABBAAABBAAAAAC,EE.....S..
AAAAAAAAABAAA,AAAAAAAAABAAAB,ES.....E.S
AAAABAABAAABCA,AAAABAABAAABCAA,E....E....
AAAABAABBAAABCC,AAAABAABBAAABCCC,.EE......S
AAABBBABAAACBAB,AAABBBABAAACBABC,..E....EE.
AAAAAAAAACBCC,AAAAAAAAACBCCB,..........
AAABBCABAABAAA,AAABBCABAABAAAC,S.E.E..E..
AAAABAABCBACC,AAAABAABCBACCB,..E..EE.ES
AAABBBCBABBABAA,AAABBBCBABBABAAB,...ES.SE..
AAABBABABBCAAAA,AAABBABABBCAAAAB,....E.S.E.
AAAABAABCCAAAAA,AAAABAABCCAAAAAA,.SEE.E....
AAABBBACCABACA,AAABBBACCABACAA,......S..E
AAAAAAAABCACBCB,AAAAAAAABCACBCBB,....E...SS
AAABBBBACAAAAAA,AAABBBBACAAAAAAB,..E.....E.
AAABAABAAABCBCB,AAABAABAAABCBCBB,.E.....SEE
AAAACAACBBAA,AAAACAACBBAAA,..E.EES..E
AAABBABABBBCAA,AAABBABABBBCAAA,SE..S.....
AAAACAAABBABBAA,AAAACAAABBABBAAC,..EE......
AAABBCABCBAB,AAABBCABCBABA,..S.......
AAAAAAAAACBBAA,AAAAAAAAACBBAAA,..E....E.S
AAAACAAAAA,AAAACAAAAAA,........EE
AAABBBCABBAACA,AAABBBCABBAACAB,S.E...S...
AAABBBAAABBCAAA,AAABBBAAABBCAAAC,....E....E
AAABAACABABACAA,AAABAACABABACAAB,.E..EE.EE.
AAAABAABCBCCC,AAAABAABCBCCCB,.S.E....E.
AAABAABAABBBAC,AAABAABAABBBACA,.......E..
AAABBABAABAABAA,AAABBABAABAABAAB,S....S.EEE
AAABBBABAAACABB,AAABBBABAAACABBA,E.EEE.E..S
AAAABAABCBACAB,AAAABAABCBACABB,E.E...E.E.
AAABBBBABABBB,AAABBBBABABBBA,EE......S.
AAAACAAAACCBACB,AAAACAAAACCBACBC,E...E...EE
AAAACAAAAACABAA,AAAACAAAAACABAAA,..........
AAAACAAC,AAAACAACA,E.E..E....
AAAACAACBABCBAC,AAAACAACBABCBACC,S..ES..S..
AAAACAAABBAA,AAAACAAABBAAB,.E.E.S....
AAABAABABABABBA,AAABAABABABABBAA,..S..S...E
AAABBBBAAABA,AAABBBBAAABAC,..SE.ESESE
AAAACAAAABBABBB,AAAACAAAABBABBBA,...E......
AAABBCABCAB,AAABBCABCABC,....S...EE
AAABBCAAAABAACA,AAABBCAAAABAACAA,.E........
AAABBBACBBAABAA,AAABBBACBBAABAAA,...ES.....
AAABAABAAAAAAAA,AAABAABAAAAAAAAA,E...E....S
AAAACAACBABBACA,AAAACAACBABBACAA,...EE.....
AAABBBACBBBAAA,AAABBBACBBBAAAB,....E..E..
AAABBABABBBCABB,AAABBABABBBCABBB,EE....SE..
AAABAABBBAABCAA,AAABAABBBAABCAAB,..SE..E.SS
AAAABAABBACAABA,AAAABAABBACAABAC,...E...E.E
AAABBCABAABABBB,AAABBCABAABABBBA,.....E....
AAABBBCABBBCBAB,AAABBBCABBBCBABA,..E.EE....
AAABAACBAAABBCA,AAABAACBAAABBCAA,.S.E.EE..E
AAABBBCBAACBBAC,AAABBBCBAACBBACA,.....S...S
AAABBBBAAAACABC,AAABBBBAAAACABCB,........E.
AAABBBBBAAAAAAB,AAABBBBBAAAAAABA,SS.....S..
AAABBBBAABBBAA,AAABBBBAABBBAAC,..........
AAAABAABCAAA,AAAABAABCAAAA,.....ESE..
AAAACAAABBAA,AAAACAAABBAAA,........S.
AAABAABAAABBCAB,AAABAABAAABBCABA,.SE.....E.
AAAABAABBAAABCA,AAAABAABBAAABCAC,..E.E..EE.
AAABBAAABAAAABB,AAABBAAABAAAABBC,..S...EE.S
AAABBCABCBAABBB,AAABBCABCBAABBBB,.EE.EE.E..
AAABBBACBACBBBA,AAABBBACBACBBBAA,ES....E...
AAABBAAABBABBCA,AAABBAAABBABBCAA,....S.S...
AAABAABBBAABAB,AAABAABBBAABABA,.....SS...
AAAABAABAAAACAB,AAAABAABAAAACABB,..E..S.E.S
AAABBCAAAAAACAC,AAABBCAAAAAACACB,..E..E..EE
AAABBCABAABAAB,AAABBCABAABAABA,SS.E.....E
AAAAAABABBBA,AAAAAABABBBAB,E....S...E
AAABBCAAAAAAB,AAABBCAAAAAABB,.....E..S.
AAABBABABAABCA,AAABBABABAABCAA,...E.E....
AAABBBACBCBBABB,AAABBBACBCBBABBA,S..ES.SE..
AAAAAAAABABAAB,AAAAAAAABABAABB,E...E..E.E
AAABBAAABAAAABB,AAABBAAABAAAABBB,..E.SEE...
AAAACAAABBBABBB,AAAACAAABBBABBBC,.E...E.E..
AAAAAAAAABBBACA,AAAAAAAAABBBACAB,....S.S...
AAAACABAAAAA,AAAACABAAAAAC,........EE
AAABBBBAAABAAAA,AAABBBBAAABAAAAB,.....E...E
AAABAACAA,AAABAACAAA,...EEEEE.E
AAABBABABCABC,AAABBABABCABCC,.E....E...
AAAAAAAABABAA,AAAAAAAABABAAC,S..E......
AAAAAABABBABB,AAAAAABABBABBB,.EE...S...
AAABAABABAC,AAABAABABACA,..E...S.ES
AAABBAAABACCBBA,AAABBAAABACCBBAB,E.S.EE....
AAABBBACBCABBA,AAABBBACBCABBAA,E..S....E.
AAABBBBAAAACBCC,AAABBBBAAAACBCCA,SE.....E..
AAAACAACBBBAABC,AAAACAACBBBAABCA,E.......S.
AAAACAAAABABBC,AAAACAAAABABBCA,S.......E.
AAABBBCBABBABAB,AAABBBCBABBABABA,..ESS.E.SE
AAAACAAAAACBA,AAAACAAAAACBAA,..E..EEE.S
AAABBAAABAAAAAA,AAABBAAABAAAAAAA,....ESS...
AAABBCAAAAAABBA,AAABBCAAAAAABBAC,.....EEE..
AAABBBAAACAAAA,AAABBBAAACAAAAA,S.EE....E.
AAABBABABBBBA,AAABBABABBBBAB,E.....E.SE
AAABAABAAABAACB,AAABAABAAABAACBA,..........
AAAABAABCBAAAAA,AAAABAABCBAAAAAA,SE..E..E.E
AAABAABBBAABBAA,AAABAABBBAABBAAA,....E..SS.
AAAACAAAAAB,AAAACAAAAABA,EE..S..SE.
AAABAACBBABCB,AAABAACBBABCBB,.E..S...S.
AAAACAAABCACCAC,AAAACAAABCACCACA,E....EEES.
AAAACAABACBBACB,AAAACAABACBBACBA,EE...ESE..
AAABBBBAABAAAAA,AAABBBBAABAAAAAA,E.ES..S...
AAABAABAAABAAA,AAABAABAAABAAAA,.E.E.....E
AAABBBCAAAACAB,AAABBBCAAAACABA,........S.
AAABBBACBCCABAA,AAABBBACBCCABAAA,.EES.E...E
AAABAACAABBCBCC,AAABAACAABBCBCCB,..ES.E...E
AAABBBACBCBACBA,AAABBBACBCBACBAC,E...EEE...
AAAABAABAAABAC,AAAABAABAAABACA,E...E..EES
AAABBBACBCABBBA,AAABBBACBCABBBAB,....ES....
AAABBBBAAABACCA,AAABBBBAAABACCAC,.E....E..E
AAAACAABACA,AAAACAABACAA,.....S.EE.
AAABAABBBABAAAC,AAABAABBBABAAACA,....E.E.E.
AAABBBBAAACCACB,AAABBBBAAACCACBB,.E.S..E...
AAABAABABAAACAB,AAABAABABAAACABA,...S......
AAABBBACBCABBCA,AAABBBACBCABBCAC,..E.......
AAAACAACAAABABA,AAAACAACAAABABAA,..E....E..
AAABAABAAABAABB,AAABAABAAABAABBA,.E..EE....
AAABAACBAAAAA,AAABAACBAAAAAA,E.S...E...
AAAABAABBACBABB,AAAABAABBACBABBB,S..S..SE.E
AAABBBABAAACBAA,AAABBBABAAACBAAB,....EE..E.
AAABBBAAAAABA,AAABBBAAAAABAB,...S.SEE.E
AAABBABABBCAABC,AAABBABABBCAABCB,.E..E.....
AAABBAAAAABAACB,AAABBAAAAABAACBA,.SE...E...
AAABBBCAAAABBCA,AAABBBCAAAABBCAA,.E..SS.E..
AAABAABBABAAAAA,AAABAABBABAAAAAB,......E...
AAABBBBAABAABB,AAABBBBAABAABBB,...E..E...
AAABBCAAAAAABAA,AAABBCAAAAAABAAB,E......EE.
